"Job.Titles","Department","Annual.Salary"
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",114654
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"POLICE OFFICER","POLICE",102372
"FIRE ENGINEER-PARAMEDIC","FIRE",121656
"LIEUTENANT","FIRE",127410
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"CHIEF DATA AND INFORMATION ANALYST","INSPECTOR GEN",119028
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"ELEVATOR INSPECTOR","BUILDINGS",141377.64
"PARAMEDIC","FIRE",108036
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",109236
"COORDINATING FIRE COMMUNICATIONS OPERATOR","OEMC",137384.04
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",70860
"FIREFIGHTER-EMT","FIRE",105936
"PLUMBING INSPECTOR","BUILDINGS",114138
"LIBRARY CLERK","PUBLIC LIBRARY",58872
"CLINICAL THERAPIST III","HEALTH",111816
"SENIOR LIBRARY CLERK","PUBLIC LIBRARY",64620
"WATER CHEMIST II","WATER MGMNT",65952
"POLICE TECHNICIAN","POLICE",107490
"POLICE ADMINISTRATIVE CLERK","POLICE",53088
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"DEPUTY COMMISSIONER","WATER MGMNT",143808
"POLICE OFFICER","POLICE",86730
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",109236
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",33180
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"FIREFIGHTER-EMT","FIRE",110196
"POLICE OFFICER","POLICE",90990
"FISCAL POLICY ANALYST","FINANCE",93936
"CLERK IV","TRANSPORTN",77772
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"PARAMEDIC I/C","FIRE",108096
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ASST MANAGER - BD OF ELECTIONS","BOARD OF ELECTION",77832
"LIBRARIAN IV","PUBLIC LIBRARY",77772
"CHIEF ASST CORPORATION COUNSEL","LAW",141552
"POLICE OFFICER","POLICE",98940
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",30060
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",122568
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"LIBRARY CLERK","PUBLIC LIBRARY",36636
"MANAGER OF AUDIT AND FINANCE","FINANCE",132480
"FIREFIGHTER-EMT","FIRE",114570
"CAPTAIN-EMT","FIRE",151764
"FIREFIGHTER","FIRE",99876
"SERGEANT","POLICE",130596
"FIREFIGHTER","FIRE",108036
"ASST DISTRICT SUPERINTENDENT","WATER MGMNT",120536.04
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"HR GENERALIST - DHR","HUMAN RESOURCES",63960
"PARAMEDIC I/C","FIRE",104430
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"LANDSIDE OPERATION MANAGER","AVIATION",58116
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"DETENTION AIDE","POLICE",62136
"FIREFIGHTER-EMT","FIRE",98904
"BUSINESS COMPLIANCE INVESTIGATOR","BUSINESS AFFAIRS",98016
"POLICE OFFICER","POLICE",106170
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"LIEUTENANT","POLICE",142296
"AVIATION SECURITY OFFICER","AVIATION",74844
"ADMINISTRATIVE SERVICES OFFICER II EXCLD","STREETS & SAN",82368
"TRAINING OFFICER","POLICE",112716
"ARCHITECT IV","BUILDINGS",122112
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",106170
"DETENTION AIDE","POLICE",86016
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"TRAINING OFFICER","POLICE",102732
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"SENIOR LIBRARY CLERK","PUBLIC LIBRARY",61632
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"SERGEANT","POLICE",118836
"POLICE COMMUNICATIONS OPERATOR II","OEMC",74844
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"ASST CHIEF AIRPORT OPERATIONS SUPVSR","AVIATION",135684
"POLICE OFFICER","POLICE",106170
"REFUSE COLLECTION COORD","STREETS & SAN",85308
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",109236
"PARAMEDIC I/C","FIRE",112020
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",102372
"ENGINEERING TECHNICIAN V","WATER MGMNT",112716
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",106170
"AVIATION SECURITY OFFICER","AVIATION",78384
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER","POLICE",95586
"FIELD PAYROLL AUDITOR","PUBLIC SAFETY ADMIN",89352
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"SENIOR PERSONNEL ASSISTANT","AVIATION",85344
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"WATER CHEMIST II","WATER MGMNT",63960
"PROJECT COORD","FINANCE",66804
"DEPUTY DISTRICT CHIEF","FIRE",175464
"CULTURAL AFFAIRS COORD II","CULTURAL AFFAIRS",78672
"FIRE ENGINEER-EMT","FIRE",110766
"REFUSE COLLECTION COORD","STREETS & SAN",112668
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"SR PROJECT MGR - MAYOR'S OFFICE","MAYOR'S OFFICE",129780
"POLICE OFFICER","POLICE",109236
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",43260
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",115026
"PUBLIC HEALTH ADMINISTRATOR III","HEALTH",123696
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"LIEUTENANT-EMT","FIRE",126840
"HOUSE DRAIN INSPECTOR","WATER MGMNT",114138
"POLICE OFFICER","POLICE",54672
"AVIATION SECURITY OFFICER","AVIATION",94368
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",95586
"ASST DIR","POLICE",90084
"FINANCE OFFICER","HEALTH",111816
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",46416
"AVIATION COMMUNICATIONS OPERATOR","AVIATION",74844
"POLICE OFFICER","POLICE",106170
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",70032
"DETENTION AIDE","POLICE",55932
"DEPUTY COMMISSIONER","AVIATION",136812
"FIRE MARSHAL-EMT","FIRE",98904
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",90990
"PAYMENT SERVICES REPRESENTATIVE","FINANCE",55620
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE COMMUNICATIONS OPERATOR II","OEMC",90036
"POLICE COMMUNICATIONS OPERATOR II","OEMC",98892
"SUPERVISING POLICE COMMUNICATIONS OPERATOR","OEMC",109872
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"AVIATION SECURITY OFFICER","AVIATION",94368
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",114654
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",117384
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",86730
"INVESTIGATOR","PUBLIC SAFETY ADMIN",63780
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"DIR OF ACCOUNTING","FINANCE",115992
"ACCOUNTANT","TRANSPORTN",98016
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"LIBRARIAN II","PUBLIC LIBRARY",93780
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"ASST MANAGER - BD OF ELECTIONS","BOARD OF ELECTION",95916
"SENIOR CLERK-ELECTIONS","BOARD OF ELECTION",51732
"SENIOR CLERK-ELECTIONS","BOARD OF ELECTION",55704
"POLICE OFFICER","POLICE",95586
"ACCOUNTANT","PUBLIC LIBRARY",102732
"POLICE OFFICER","POLICE",90990
"SENIOR DATA ENTRY OPERATOR","POLICE",58872
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"STAFF ASST","HEALTH",93660
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",114822
"SENIOR AIR MASK TECHNICIAN","FIRE",112668
"PUBLIC HEALTH NURSE II","HEALTH",83412
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"COOLING PLANT INSPECTOR","BUILDINGS",110240.04
"IT SECURITY SPECIALIST","AVIATION",97548
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"SUPRVNG BUILDING/CONTRUCT INSPECTOR","BUILDINGS",123660
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",130596
"FIRE ENGINEER-EMT","FIRE",118830
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",115026
"TRAFFIC CONTROL AIDE","OEMC",42312
"POLICE OFFICER","POLICE",106170
"FIELD SUPVSR","TRANSPORTN",129528
"POLICE OFFICER","POLICE",106170
"STAFF ASST","TRANSPORTN",102732
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",95586
"STAFF ASST","WATER MGMNT",89388
"LIBRARY CLERK","PUBLIC LIBRARY",56172
"TIMEKEEPER - CPD","PUBLIC SAFETY ADMIN",85344
"PRINCIPAL DATA BASE ANALYST","DAIS",142176
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"FILTRATION ENGINEER II","WATER MGMNT",70428
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"POLICE COMMUNICATIONS OPERATOR II","OEMC",61308
"SUPVR REGISTRATION-ELECTIONS","BOARD OF ELECTION",63024
"POLICE OFFICER","POLICE",102372
"DEPUTY COMMISSIONER","AVIATION",128856
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",93252
"SERGEANT","POLICE",126504
"LIEUTENANT-EMT","FIRE",126840
"LIBRARIAN II","PUBLIC LIBRARY",93780
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",102372
"LOCAL LIQUOR CONTROL COMMISSIONER","BUSINESS AFFAIRS",133668
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"PROJECT COORD","DAIS",103920
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"BUDGET ANALYST","BUDGET & MGMT",57204
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"AVIATION SECURITY SERGEANT","AVIATION",101040
"POLICE OFFICER","POLICE",90990
"DATA SERVICES ADMINISTRATOR-EXCLUDED","INSPECTOR GEN",103920
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"AUDITOR II","FINANCE",76344
"POLICE OFFICER","POLICE",95586
"CIVIL ENGINEER IV","WATER MGMNT",85764
"PARAMEDIC","FIRE",76122
"LEGAL SECRETARY","LAW",93660
"POLICE OFFICER","POLICE",86730
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"PROGRAM DEVELOPMENT COORD","FAMILY & SUPPORT",70152
"SUPVSR OF ACCOUNTING","FINANCE",97260
"FIREFIGHTER/PARAMEDIC","FIRE",108444
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",122568
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"COORDINATING PLANNER","HOUSING & ECON DEV",87432
"FIREFIGHTER","FIRE",99876
"DISPATCH CLERK","ANIMAL CONTRL",77772
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",102372
"FIRE COMMUNICATIONS OPERATOR II","OEMC",106200
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER","FIRE",103914
"ASST COMMISSIONER","BUSINESS AFFAIRS",94680
"POLICE OFFICER","POLICE",98940
"ALDERMAN","CITY COUNCIL",120000
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",106170
"CRIMINAL INTELLIGENCE ANALYST","POLICE",92736
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",122568
"SUPERVISING SANITARIAN","HEALTH",114012
"PLUMBING INSPECTOR","WATER MGMNT",114138
"POLICE OFFICER","POLICE",95586
"POLICE ADMINISTRATIVE CLERK","POLICE",53088
"EXEC ADMINISTRATIVE ASST I","AVIATION",61020
"POLICE OFFICER","POLICE",102372
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"PRINCIPAL CLERK-ELECTIONS","BOARD OF ELECTION",54348
"POLICE OFFICER","POLICE",95586
"DEPUTY COMMISSIONER","TRANSPORTN",142404
"POLICE OFFICER","POLICE",102372
"ASST CORPORATION COUNSEL I","LAW",84396
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER","POLICE",95586
"DIR / COMMUNITY LIAISON","HEALTH",112128
"LIEUTENANT-EMT","FIRE",135144
"ASST COMMUNITY LIVING SPECIALIST","FAMILY & SUPPORT",77772
"POLICE OFFICER","POLICE",95586
"INFECTION PREVENTION SPECIALIST","HEALTH",93000
"SENIOR DATA ENTRY OPERATOR","PUBLIC SAFETY ADMIN",70860
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"TRAINING OFFICER","POLICE",112716
"FIREFIGHTER-EMT","FIRE",98904
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"BATTALION CHIEF - EMT","FIRE",165858
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"LEGISLATIVE AIDE","CITY COUNCIL",33744
"POLICE OFFICER","POLICE",90990
"ELECTION EQUIPMENT & SUPPLY SPEC II","BOARD OF ELECTION",40416
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT","FIRE",98904
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",54672
"DENTAL HYGIENIST","HEALTH",70152
"FIRE ENGINEER-EMT","FIRE",110766
"GRAPHIC ARTIST III","POLICE",81468
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"PROCUREMENT SPECIALIST","PROCUREMENT",93660
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",94152
"AVIATION SECURITY OFFICER","AVIATION",55932
"PARKING ENFORCEMENT AIDE","FINANCE",44292
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",107490
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"CLERK IV","FINANCE",44808
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",102372
"ADMINISTRATIVE ASST II","FIRE",77772
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",86730
"PUBLIC HEALTH ADMINISTRATOR III","HEALTH",92736
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"SERGEANT","POLICE",126504
"SERGEANT","POLICE",126504
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",135684
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"LEGISLATIVE AIDE","CITY COUNCIL",66336
"OCCUPATIONAL HEALTH NURSE","PUBLIC SAFETY ADMIN",107448
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",111492
"LIEUTENANT-EMT","FIRE",135144
"LEAD ACCOUNTANT","HOUSING & ECON DEV",111816
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"EQUITY OFFICER","HOUSING",75852
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER","FIRE",108036
"SERGEANT","POLICE",126504
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",106170
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",106170
"ADMINISTRATIVE ASST","MAYOR'S OFFICE",60516
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",98940
"PAYMENT RECONCILER","CITY CLERK",70860
"SR PROCUREMENT SPECIALIST","PROCUREMENT",85452
"MANAGING DEPUTY COMMISSIONER","BUILDINGS",142404
"ACCOUNTANT","HOUSING & ECON DEV",102732
"INFORMATION COORD","PROCUREMENT",77892
"PARAMEDIC","FIRE",93252
"POLICE OFFICER","POLICE",86730
"SERGEANT","POLICE",122568
"LIEUTENANT","POLICE",142296
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"GIS DATA BASE ANALYST","AVIATION",97080
"POLICE OFFICER","POLICE",102372
"AIRPORT OPERATIONS SUPVSR I","AVIATION",85308
"SERGEANT","POLICE",122568
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",90990
"SERVICE WRITER","DAIS",58284
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",110766
"FIRE ENGINEER","FIRE",108096
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",54672
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",54324
"POLICE OFFICER","POLICE",95586
"SUPERVISING TRAFFIC CONTROL AIDE","OEMC",74844
"DEPUTY CHIEF","POLICE",183984
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",118836
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"COMMUNICATIONS OPERATOR I - 311","OEMC",70860
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",122568
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"SERGEANT","POLICE",115026
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"CLINICAL THERAPIST III","FIRE",84084
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"PARAMEDIC I/C","FIRE",115308
"POLICE OFFICER","POLICE",95586
"AUDITOR III","FINANCE",111816
"POLICE OFFICER","POLICE",106170
"PERSONNEL ASSISTANT","PUBLIC SAFETY ADMIN",67668
"POLICE OFFICER","POLICE",106170
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"POLICE OFFICER","POLICE",78024
"LEGISLATIVE AIDE","CITY COUNCIL",70296
"INVESTIGATOR","PUBLIC SAFETY ADMIN",60876
"CHIEF PROGRAMMER/ANALYST EXCLUDED","FINANCE",115512
"TRAFFIC CONTROL AIDE","OEMC",42312
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ASST TO THE COMMISSIONER","AVIATION",114012
"FIREFIGHTER/PARAMEDIC","FIRE",78624
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"CHIEF CONTRACT EXPEDITER","HEALTH",123696
"PROJECT DIR","INSPECTOR GEN",113244
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS CANINE HANDLER)","POLICE",111492
"AUDIO-VISUAL SPECIALIST","PUBLIC LIBRARY",53088
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"PROGRAM ANALYST","FAMILY & SUPPORT",64992
"CITY CLERK","CITY CLERK",133545
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",90990
"LIBRARY CLERK","PUBLIC LIBRARY",36636
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",106170
"CRIME VICTIM ADVOCATE","POLICE",58116
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",90990
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",33180
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER (ASSIGNED AS CANINE HANDLER)","POLICE",111492
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"AVIATION SECURITY OFFICER","AVIATION",74844
"ASST TO THE ALDERMAN","CITY COUNCIL",92700
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"GENERAL SUPT OF STREETS AND SANITATION","STREETS & SAN",122616
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",107700
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"ACCOUNTANT I","PUBLIC LIBRARY",85344
"PERSONAL COMPUTER OPERATOR I","POLICE",64620
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"AVIATION SECURITY OFFICER","AVIATION",55932
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"AUTO POUND SUPVSR","STREETS & SAN",93624
"TRAFFIC CONTROL AIDE","OEMC",42312
"FIREFIGHTER-EMT","FIRE",98904
"PARAMEDIC","FIRE",76122
